"geom","setting","input","value","quoted","placeholder"
"scale_colour_grey,scale_fill_grey","na.value","text","red",TRUE,""
"scale_colour_gradient,scale_fill_gradient","low","text","#132B43",TRUE,""
"scale_colour_gradient,scale_fill_gradient","high","text","#56B1F7",TRUE,""
"scale_colour_gradient,scale_fill_gradient,scale_colour_gradient2,scale_fill_gradient2,scale_colour_gradientn,scale_fill_gradientn","space","select","Lab",TRUE,""
"scale_colour_gradient,scale_fill_gradient,scale_colour_gradient2,scale_fill_gradient2,scale_colour_gradientn,scale_fill_gradientn","na.value","text","grey50",TRUE,""
"scale_colour_gradient,scale_fill_gradient,scale_colour_gradient2,scale_fill_gradient2,scale_colour_gradientn,scale_fill_gradientn","guide","select","colourbar,legend",TRUE,""
"scale_colour_gradient2,scale_fill_gradient2","low","text","muted('red')",TRUE,""
"scale_colour_gradient2,scale_fill_gradient2","mid","text","white",TRUE,""
"scale_colour_gradient2,scale_fill_gradient2","high","text","muted('blue')",TRUE,""
"scale_colour_gradientn,scale_fill_gradientn","colours","text","",FALSE,""
"scale_colour_gradient2,scale_fill_gradient2","midpoint","text","0",FALSE,""
"scale_shape,scale_shape_continuous,scale_shape_discrete","solid","checkbox","TRUE",FALSE,""
"scale_colour_identity,scale_fill_identity,scale_shape_identity,scale_linetype_identity,scale_alpha_identity,scale_size_identity","guide","text","none",TRUE,""
"scale_colour_manual,scale_fill_manual,scale_size_manual,scale_shape_manual,scale_linetype_manual,scale_alpha_manual","values","text","",FALSE,""
"scale_radius,scale_size","name,breaks,labels","text","",FALSE,"waiver()"
"scale_radius,scale_size","limits","text","",FALSE,"NULL"
"scale_radius,scale_size","range","text","c(1,6)",FALSE,""
"scale_radius,scale_size","guide","text","legend",TRUE,""
"scale_size_area","max_size","text","6",FALSE,""
"scale_colour_continuous,scale_fill_continuous","type","select","gradient,viridis",TRUE,""
"scale_alpha,scale_alpha_continuous,scale_alpha_ordinal","range","text","c(0.1,1)",FALSE,""
"scale_colour_hue,scale_fill_hue","h","text","c(0,360)+15",FALSE,""
"scale_colour_hue,scale_fill_hue","c","text","100",FALSE,""
"scale_colour_hue,scale_fill_hue","l","text","65",FALSE,""
"scale_colour_hue,scale_fill_hue","h.start","text","0",FALSE,""
"scale_colour_hue,scale_fill_hue","direction","select","1,-1",TRUE,""
"scale_colour_hue,scale_fill_hue","na.value","text","grey50",TRUE,""
"scale_x_date,scale_y_date,scale_x_datetime,scale_y_datetime,scale_x_time,scale_y_time","name,breaks,minor_breaks,labels,expand","text","",FALSE,"waiver()"
"scale_x_date,scale_y_date,scale_x_datetime,scale_y_datetime","date_breaks,date_labels,date_minor_breaks","text","",FALSE,"waiver()"
"scale_x_date,scale_y_date,scale_x_datetime,scale_y_datetime,scale_x_time,scale_y_time","limits","text","",FALSE,"NULL"
"scale_x_date,scale_x_datetime,scale_x_time","position","select","bottom,top",TRUE,""
"scale_y_date,scale_y_datetime,scale_y_time","position","select","left,right",TRUE,""
"scale_x_datetime,scale_y_datetime","timezone","text","",FALSE,"NULL"
"scale_x_time,scale_y_time","oob","text","censor",FALSE,""
"scale_x_time,scale_y_time","na.value","text","NA_real_",FALSE,""
"margin","t,r,b,l","text","0",FALSE,""
"margin","unit","select","pt,line,npc,cm,inches,mm,picas,bigpts,dida,cicero,scaledpts,lines,char,native,snpc,strwidth,strheight,grobwidth,grobheight",TRUE,""
"element_rect","fill","select","NULL",TRUE,""
"element_text","family","select","NULL,mono,sans,serif,Courier,Helvetica,Times",TRUE,""
"element_text","face","select","NULL,plain,italic,bold,bold.italic",TRUE,""
"element_rect,element_line,element_text","colour","select","NULL",TRUE,""
"element_rect,element_line,element_text","size","text","",FALSE,"NULL"
"element_rect,element_line","linetype","select","NULL,blank,solid,dashed,dotted,dotdash,longdash,twodash",TRUE,""
"element_line","arrow","text","",FALSE,"arrow()"
"element_text","hjust,vjust,angle,lineheight","text","",FALSE,"NULL"
"element_text","margin","text","",FALSE,"margin()"
"element_text","debug","checkbox","FALSE",FALSE,""
"arrow","angle","text","30",FALSE,""
"arrow","length","text","unit(0.25,""inches"")",FALSE,"unit(0.25,""inches"")"
"arrow","ends","select","last, first,both",TRUE,""
"arrow","type","select","open,closed",TRUE,""
"theme_grey,theme_gray,theme_bw,theme_linedraw,theme_light,theme_dark,theme_minimal,theme_classic,theme_void,theme_test,theme_stata,theme_tufte","base_size","text","11",FALSE,""
"theme_grey,theme_gray,theme_bw,theme_linedraw,theme_light,theme_dark,theme_minimal,theme_classic,theme_void,theme_test","base_family","select",",mono,sans,serif,Courier,Helvetica,Times",TRUE,""
"theme_grey,theme_gray,theme_bw,theme_linedraw,theme_light,theme_dark,theme_minimal,theme_classic,theme_void,theme_test","base_line_size","text","base_size/22",FALSE,""
"theme_grey,theme_gray,theme_bw,theme_linedraw,theme_light,theme_dark,theme_minimal,theme_classic,theme_void,theme_test","base_rect_size","text","base_size/22",FALSE,""
"theme_wsj,theme_excel,theme_fivethirtyeight","base_size","text","12",FALSE,""
"theme_wsj","color","text","brown",TRUE,""
"theme_wsj,theme_economist,theme_economist_white,theme_fivethirtyeight,theme_stata","base_family","text","sans",TRUE,""
"theme_wsj","title_family","text","mono",TRUE,""
"theme_economist","base_size","text","10",FALSE,""
"theme_economist,theme_economist_white,theme_excel","horizontal","checkbox","TRUE",FALSE,""
"theme_economist","dkpanel","checkbox","FALSE",FALSE,""
"theme_economist","stata","checkbox","FALSE",FALSE,""
"theme_economist_white","gray_bg","checkbox","FALSE",FALSE,""
"theme_excel","base_family","text","",TRUE,""
"theme_stata","scheme","select","S2color,s2mono,s1color,s1rcolor,s1mono,s2manual,s1manual,sj",TRUE,""
"theme_tufte","base_family","text","serif",TRUE,""
"theme_tufte","ticks","checkbox","TRUE",FALSE,""
"element_line","lineend","select","NULL,round,butt,square",TRUE,""
"unit","x","text","",FALSE,""
"unit","units","select","line,npc,cm,inches,mm,points,picas,bigpts,dida,cicero,scaledpts,lines,char,native,snpc,strwidth,strheight,grobwidth,grobheight",TRUE,""
"coord_fixed","ratio","text","1",FALSE,"aspect ratio, expressed as y / x"
"coord_cartesian,coord_fixed,coord_flip,coord_map,coord_quickmap,coord_sf","xlim,ylim","text","",FALSE,"Limits for the x and y axes"
"coord_cartesian,coord_sf,coord_fixed,coord_flip,coord_quickmap","expand","checkbox","TRUE",FALSE,"If TRUE, the default, adds a small expansion factor to the limits to ensure that data and axes don't overlap. If FALSE, limits are taken exactly from the data or xlim/ylim."
"coord_map","projection","select","mercator,sinusoidal,cylequalarea,cylindrical,rectangular,gall,mollweide,gilbert,azequidistant,azequalarea,gnomonic,perspectuve,orthographic,stereographic,laue,fisheye,newyorker,conic,simpleconic,guyou,squae,tetra,hex,harrison,trapezoidal,lune",TRUE,NA
"coord_map","parameters","text","",FALSE,"unnamed parameters passed on mapproj::mapproject()"
"coord_map","orientation","text","",FALSE,"projection orientation, which defaults to c(90, 0, mean(range(x)))"
"coord_polar","theta","select","x,y",TRUE,"variable to map angle to (x or y)"
"coord_polar","start","text","0",FALSE,"offset of starting point from 12 o'clock in radians"
"coord_polar","direction","text","1",FALSE,"1, clockwise; -1, anticlockwise"
"coord_sf","crs","text","",FALSE,"Use this to select a specific CRS. If not specified, will use the CRS defined in the first layer"
"coord_sf","datum","text","sf::st_crs(4326)",FALSE,"CRS that provides datum to use when generating graticules"
"coord_sf","ndiscr","text","100",FALSE,"number of segments to use for discretizing graticule lines; try increasing this when graticules look unexpected"
"coord_trans","x,y","select","identity,log10,sqrt",TRUE,""
"coord_trans","limx,limy","text","",FALSE,"limits for x and y axes."
"xlab","label","text","",TRUE,"The text for the x-axis label"
"ylab","label","text","",TRUE,"The text for the y-axis label"
"ggtitle","label","text","",TRUE,"The text for the plot title"
"ggtitle","subtitle","text","",TRUE,"A text for subtitle"
"labs","title","text","",TRUE,"The text for the plot title"
"labs","subtitle","text","",TRUE,"The text for the  plot subtitle"
"labs","caption","text","",TRUE,"The text for the plot caption"
"annotate","geom","select","text,rect,segment,pointrange",TRUE,"name of geom to use for annotation"
"annotate","x,y,xmn,ymin,xmax,ymax,xend,yend","text","",FALSE,"positioning aesthetics "
"annotation_custom","grob","text","",FALSE,"grob to display"
"annotation_custom","xmin,ymin","text","-Inf",FALSE,"x location "
"annotation_custom","xmax,ymax","text","Inf",FALSE,"y location"
"annotation_logticks","base","text","10",FALSE,"the base of the log (default 10)"
"annotation_logticks","side","text","bl",TRUE,"string containing any of ""trbl"", for top, right, bottom, and left"
"annotation_logticks","scaled","checkbox","TRUE",FALSE,"s the data already log-scaled?"
"annotation_logticks","short","text","unit(0.1, ""cm"")",FALSE,"unit(0.1, ""cm"")"
"annotation_logticks","mid","text","unit(0.2,""cm"")",FALSE,"unit(0.2,""cm"")"
"annotation_logticks","long","text","unit(0.3,""cm"")",FALSE,"unit(0.3,""cm"")"
"annotation_logticks","colour","select","black",TRUE,""
"annotation_logticks","size","text","0.5",FALSE,""
"annotation_logticks","linetype","select","solid,blank,dashed,dotted,dotdash,longdash,twodash",TRUE,""
"annotation_logticks","alpha","text","1",FALSE,""
"annotation_map","map","text","",FALSE,"data frame representing a map"
"annotation_raster","raster","text","",FALSE,"raster object to display"
"annotation_raster","xmin,xmax,ymin,ymax","text","",FALSE,"x, y location (in data coordinate)"
"annotation_raster","interpolate","checkbox","FALSE",FALSE,"If TRUE interpolate linearly, if FALSE (the default) don't interpolate"
"borders","database","select","world,usa,state,county",TRUE,NA
"borders","region","text",".",TRUE,"map region"
"borders","fill","select","NA,",TRUE,""
"borders","colour","select","grey50,",TRUE,""
"borders","xlim","text","",FALSE,"NULL"
"borders","ylim","text","",FALSE,"NULL"
"xlim,ylim","min,max","text","",FALSE,""
"facet_grid,facet_wrap","shrink","checkbox","TRUE",FALSE,NA
"facet_grid,facet_wrap","as.table","checkbox","TRUE",FALSE,""
"facet_wrap,facet_grid","drop","checkbox","TRUE",FALSE,NA
"facet_grid,facet_wrap","switch","select","NULL,x,y",TRUE,"By default, the labels are displayed on the top and right of the plot"
"facet_wrap","dir","select","h,v",TRUE,""
"facet_wrap","strip.position","select","top,bottom,left,right",TRUE,NA
"facet_grid","labeller","select","label_value,label_both,label_context,label_parsed,label_wrap_gen(),label_bquote()",FALSE,""
"theme","line","select","element_line(),element_blank()",FALSE,NA
"theme","line","select","element_line(),element_blank()",FALSE,NA
"label_value,label_both,label_context,label_parsed","labels","text","",FALSE,"Data frame of labels. "
"label_wrap_gen","width","text","25",FALSE,"Maximum number of characters before wrapping the strip."
"label_value,label_both,label_context,label_parsed,label_wrap_gen","multi_line","checkbox","TRUE",FALSE,"Whether to display the labels of multiple factors on separate lines"
"label_both,label_context","sep","text",": ",TRUE,"String separating variables and values."
"position_dodge,position_dodge2","width","text","",FALSE,"Dodging width, when different to the width of the individual elements. "
"position_dodge","preserve","select","total,single",TRUE,""
"position_dodge","padding","text","0.1",FALSE,"Padding between elements at the same position. "
"position_dodge2","reverse","checkbox","FALSE",FALSE,"If TRUE, will reverse the default stacking order. This is useful if you're rotating both the plot and legend."
"position_stack,position_fill","vjust","text","1",FALSE,"Vertical adjustment for geoms that have a position (like points or lines), not a dimension (like bars or areas). 0-1"
"position_stack,position_fill","reverse","checkbox","FALSE",FALSE,"if TRUE, will reverse the default stacking order. This is useful if you're rotating both the plot and legend."
"position_jitter","width","text","NULL",FALSE,"Amount of horizontal jitter."
"position_jitter","height","text","NULL",FALSE,"Amount of vertical  jitter."
"position_jitter","seed","text","",FALSE,"A random seed to make the jitter reproducible."
"position_jitterdodge","jitter.width","text","NULL",FALSE,"degree of jitter in x direction. Defaults to 40% of the resolution of the data."
"position_jitterdodge","jitter.height","text","0",FALSE,"degree of jitter in y direction. Defaults to 0."
"position_jitterdodge","dodge.width","text","0.75",FALSE,"the amount to dodge in the x direction. Defaults to 0.75, the default position_dodge() width."
"position_nudge","x,y","text","0",FALSE,"Amount of vertical and horizontal distance to move.
"
"position_dodge2","preserve","select","single,total",TRUE,""
"label_bquote","rows","text","",FALSE,"NULL"
"label_bquote","cols","text","",FALSE,"NULL"
"label_bquote","default","text","label_value",FALSE,""
"geom_text,geom_label","vjust,hjust","text","",FALSE,""
